Image File,Y Channel Value
BookOfMaking.00016.01,227.5679054260254
BookOfMaking.00019.01,195.91674041748047
BookOfMaking.00053.01,188.22712326049805
BookOfMaking.00054.01,179.82062530517578
BookOfMaking.00055.01,130.03614044189453
BookOfMaking.00085.01,64.89865493774414
BookOfMaking.00120.02,126.51457214355469
BookOfMaking.00123.02,157.26566696166992
BookOfMaking.00150.01,163.90095901489258
BookOfMaking.00159.01,26.947589874267578
BuildYourOwnFirstPersonShooterInUnity.00013.01,231.9312515258789
BuildYourOwnFirstPersonShooterInUnity.00018.01,188.22644805908203
BuildYourOwnFirstPersonShooterInUnity.00019.01,221.88208770751953
BuildYourOwnFirstPersonShooterInUnity.00034.02,233.34572219848633
BuildYourOwnFirstPersonShooterInUnity.00050.01,189.25666427612305
BuildYourOwnFirstPersonShooterInUnity.00100.02,144.90933227539062
BuildYourOwnFirstPersonShooterInUnity.00114.01,135.49452590942383
BuildYourOwnFirstPersonShooterInUnity.00115.01,79.41354370117188
BuildYourOwnFirstPersonShooterInUnity.00139.02,84.73648071289062
CreateGraphicalUserInterfacesWithPython.00045.01,222.62030029296875
CreateGraphicalUserInterfacesWithPython.00071.02,235.04206466674805
CreateGraphicalUserInterfacesWithPython.00072.01,215.0745391845703
CreateGraphicalUserInterfacesWithPython.00117.01,237.9036407470703
CreateGraphicalUserInterfacesWithPython.00121.02,233.95554733276367
CreateGraphicalUserInterfacesWithPython.00143.02,221.94614791870117
CreateGraphicalUserInterfacesWithPython.00152.01,215.64984130859375
EssentialsAIYProjectsVoice.00005.02,117.77872467041016
EssentialsAIYProjectsVoice.00015.01,85.36171340942383
EssentialsAIYProjectsVoice.00028.02,36.72441864013672
EssentialsAIYProjectsVoice.00058.02,167.0688018798828
GetStartedArduino.00006.02,23.822071075439453
GetStartedArduino.00011.01,45.34569549560547
GetStartedArduino.00015.01,73.92461776733398
GetStartedArduino.00048.02,227.71176528930664
GetStartedArduino.00049.02,144.02556228637695
GetStartedArduino.00074.01,221.1047477722168
GetStartedArduino.00083.02,110.33630752563477
GetStartedArduino.00108.02,234.9642448425293
GetStartedArduino.00113.01,180.9655647277832
GetStartedArduino.00114.02,184.72225952148438
GetStartedMicroPython.00106.02,199.60515975952148
GetStartedMicroPython.00137.01,235.8259048461914
HackSpace36.00015.02,27.116870880126953
HackSpace36.00023.02,145.6511116027832
HackSpace36.00052.01,109.40805053710938
HackSpace36.00056.02,203.684326171875
HackSpace36.00115.01,7.035976409912109
HackSpace37.00005.01,119.93330001831055
HackSpace37.00029.02,51.18186569213867
HackSpace37.00070.02,87.5811653137207
HackSpace37.00072.02,175.74241256713867
HackSpace37.00099.02,60.166629791259766
HackSpace37.00102.02,25.550540924072266
HackSpace38.00063.02,158.85937881469727
HackSpace38.00069.01,75.14552688598633
HackSpace38.00084.01,117.86366271972656
HackSpace38.00105.02,134.31860733032227
HackSpace40.00013.02,38.84709548950195
HackSpace40.00056.02,47.22023391723633
HackSpace40.00081.01,90.50123977661133
HackSpace40.00097.01,108.31829452514648
HackSpace41.00013.02,129.6896858215332
HackSpace41.00034.01,105.8969497680664
HackSpace41.00060.01,153.08648681640625
HackSpace41.00070.01,164.3141098022461
HackSpace41.00087.01,230.96532440185547
HackSpace41.00087.02,226.54034805297852
HackSpace41.00113.02,196.43321990966797
HackSpace42.00023.02,159.68177795410156
HackSpace42.00025.01,158.60558700561523
HackSpace42.00042.01,58.382022857666016
HackSpace42.00100.01,137.62358474731445
HackSpace43.00028.02,77.78496170043945
HackSpace43.00057.01,163.37199020385742
HackSpace44.00024.02,135.34701919555664
HackSpace44.00101.01,223.17229461669922
HackSpace44.00110.01,221.9666519165039
HackSpace45.00006.02,40.103538513183594
HackSpace45.00007.01,35.63269805908203
HackSpace45.00009.02,109.94929504394531
HackSpace45.00026.02,200.82720184326172
HackSpace45.00044.02,91.19221878051758
HackSpace45.00047.01,84.826416015625
HackSpace45.00051.02,173.3941993713379
HackSpace45.00056.02,24.40958023071289
HackSpace45.00062.01,143.44305038452148
HackSpace46.00029.01,198.4475555419922
HackSpace46.00034.01,140.17570877075195
HackSpace46.00080.01,129.6268539428711
HackSpace46.00092.01,160.27631759643555
HackSpace46.00106.01,196.55594635009766
HackSpace47.00004.01,226.15253448486328
HackSpace47.00044.01,185.33486938476562
HackSpace47.00044.02,187.85569763183594
HackSpace47.00056.01,82.35391998291016
HackSpace47.00071.02,112.32480239868164
HackSpace47.00101.01,106.66024017333984
HackSpace47.00104.01,147.42176055908203
HackSpace50.00062.01,43.929542541503906
HackSpace50.00090.01,174.8232879638672
HackSpace51.00023.01,147.69702529907227
HackSpace51.00033.02,64.84236907958984
HackSpace51.00066.02,181.45388793945312
HackSpace51.00071.01,109.45071792602539
HackSpace51.00071.02,222.59208297729492
HackSpace51.00109.02,199.72424697875977
MagPi047.00027.01,73.28190612792969
MagPi047.00028.01,30.118194580078125
MagPi047.00031.02,133.48845672607422
MagPi047.00044.01,215.8574981689453
MagPi047.00054.01,169.24366760253906
MagPi047.00076.01,90.64080810546875
MagPi047.00096.01,206.77798461914062
MagPi048.00004.02,127.2357406616211
MagPi048.00037.01,109.30279159545898
MagPi048.00047.02,230.41817092895508
MagPi048.00048.02,88.83404159545898
MagPi048.00084.02,170.61369705200195
MagPi048.00090.02,145.22036361694336
MagPi049.00006.01,217.47284317016602
MagPi049.00018.01,150.97136688232422
MagPi049.00033.01,90.70912170410156
MagPi049.00036.02,79.64079284667969
MagPi049.00045.01,222.50431060791016
MagPi049.00058.01,165.50388717651367
MagPi049.00071.02,54.47977066040039
MagPi049.00091.01,105.480224609375
MagPi050.00018.01,34.22895050048828
MagPi050.00045.01,161.02153778076172
MagPi050.00061.01,228.31632232666016
MagPi050.00064.01,200.87119674682617
MagPi050.00093.02,169.81430053710938
MagPi050.00095.02,104.61889266967773
MagPi051.00010.01,160.3593978881836
MagPi051.00026.02,25.84654998779297
MagPi051.00040.02,175.42811584472656
MagPi051.00053.02,220.7005615234375
MagPi051.00082.02,191.79680633544922
MagPi051.00087.02,194.20507049560547
MagPi051.00097.01,124.1202163696289
MagPi052.00003.01,197.22378158569336
MagPi052.00004.01,165.5827980041504
MagPi052.00016.01,121.5832748413086
MagPi052.00019.02,140.55839157104492
MagPi052.00025.02,171.73848342895508
MagPi052.00088.02,70.75202178955078
MagPi056.00033.01,190.93102645874023
MagPi056.00034.02,66.10301208496094
MagPi056.00074.01,201.15950393676758
MagPi056.00076.02,213.53583908081055
MagPi056.00079.01,190.33390426635742
MagPi056.00079.02,201.3901481628418
MagPi056.00089.02,189.04783630371094
MagPi056.00093.01,182.34965133666992
MagPi057.00006.02,51.94099426269531
MagPi057.00034.01,143.57493209838867
MagPi057.00055.01,127.69072341918945
MagPi057.00057.01,221.03537368774414
MagPi057.00073.02,180.2918701171875
MagPi058.00030.01,57.27116394042969
MagPi058.00031.02,221.70776748657227
MagPi058.00041.02,89.63005065917969
MagPi058.00082.02,173.83079147338867
MagPi058.00086.02,61.228885650634766
MagPi058.00089.01,9.68414306640625
MagPi058.00098.01,219.42369079589844
MagPi058.00099.01,42.422096252441406
MagPi059.00018.01,151.5294418334961
MagPi059.00034.01,182.26882553100586
MagPi059.00059.01,203.80580520629883
MagPi059.00078.02,187.5307731628418
MagPi059.00095.02,145.7110252380371
MagPi060.00022.01,186.3835220336914
MagPi060.00042.01,132.63380813598633
MagPi060.00056.02,224.95651626586914
MagPi060.00058.02,223.99861526489258
MagPi060.00069.02,187.1530647277832
MagPi061.00016.02,104.17948913574219
MagPi061.00027.01,77.49996566772461
MagPi061.00064.01,196.28977966308594
MagPi061.00074.01,191.06799697875977
MagPi061.00084.02,105.09289169311523
MagPi061.00091.02,150.93324279785156
MagPi061.00096.01,172.76416015625
MagPi062.00004.02,150.1189956665039
MagPi062.00077.01,122.19238662719727
MagPi062.00099.02,58.118934631347656
MagPi063.00007.01,140.40753936767578
MagPi063.00028.01,67.87886047363281
MagPi063.00037.02,64.39710235595703
MagPi063.00054.02,133.96916961669922
MagPi063.00075.02,183.51797103881836
